;ôrgÅn ve Yaygçn Eßitim;Proje Dançümanlçßç;Fon Saßlama;Patentleme Hizmetleri;Giriüimcilik Hizmetleri;Kuluákalçk Hizmetleri;Ticarileütirme;ûirketleüme Hizmetleri;Risk Sermayesi;Uluslararasçlaüma hizmetleri
Proje Geliütirme, Uygulama ve Araütçrma Merkezi (APGEM);NA;1;NA;NA;1;NA;NA;NA;NA;NA
Saßlçk Bilimleri Araütçrma ve Uygulama Merkezi (SBAUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saßlçk Turizmi ve Talassoterapi Eßitim, Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Saßlçk, Araütçrma ve Uygulama Merkezi(öniversite Hastanesi);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Sera Teknolojileri Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Stratejik Araütçrmalar Merkezi (AKSAM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Teknoloji Transferi Uygulama ve Araütçrma Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Temiz Enerji Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Tohumculuk ve Tarçmsal Biyoteknoloji Araütçrma ve Uygulama Merkezi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turizm Araütçrma, Geliütirme ve Uygulama Merkezi (TAGUM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Algçlama Araütçrma ve Uygulama Merkezi (AKUZAL);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Uzaktan Eßitim Uygulama ve Araütçrma Merkezi (AKUZEM);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
